time,paw,flow,vol,pmus
82.88,16.5869867376107,0.680915791046725,0.298777580693081,-2.21812322
82.89,16.7505019717508,0.659515118090548,0.305535610162932,-2.07685662
82.9,16.7906172897574,0.628833738728871,0.312073496693087,-1.93547337
82.91,16.8577586365764,0.605254410083416,0.31839125190647,-1.7939739
82.92,16.4923337715601,0.48013751441852,0.324488618895132,-1.65235887
82.93,15.8184913056632,0.316733107893935,0.33036537507744,-1.51062924
82.94,14.9430177146954,0.136113845620383,0.335881015274499,-1.36878622
82.95,14.0217750297123,-0.0576966804753154,0.337547036080261,-1.22683131
82.96,13.0535783148552,-0.246172653219668,0.334173269640857,-1.08476624
82.97,12.1978120168298,-0.42282531757076,0.328340725737265,-0.94259301
82.98,11.3463920586467,-0.582899549968888,0.3214907023633,-0.80031388
82.99,10.8904393773877,-0.653460294480249,0.314388224046881,-0.65793134
83,10.7260558439811,-0.674155929553589,0.307386565914205,-0.53113795
83.01,10.6608917035898,-0.669240806958749,0.300590898653316,-0.41993668
83.02,10.693010923838,-0.657609508266605,0.293979390826278,-0.32433074
83.03,10.7349119474133,-0.642133011738131,0.287497676890542,-0.24432355
83.04,10.7082516335151,-0.635406861401913,0.281104667037185,-0.17991876
83.05,10.6407922435558,-0.628429366244964,0.274785041334681,-0.1311202
83.06,10.6213090840129,-0.619823592678404,0.268542996400048,-0.09793191
83.07,10.5423820948894,-0.604158177038822,0.26239272200113,-0.08035813
83.08,10.5101511945849,-0.598590313229285,0.256350997748426,-0.07840324
83.09,10.396744299356,-0.582576982536331,0.250424945145298,-0.07638201
83.1,10.3648846892078,-0.570910200749497,0.244613509073311,-0.07429917
83.11,10.3009459136784,-0.559070129857737,0.238917598708919,-0.07215958
83.12,10.2314303590754,-0.549830646796493,0.233337794568587,-0.06996823
83.13,10.1541411659501,-0.540526881612239,0.227873644294792,-0.06773024
83.14,10.1137657509201,-0.529781718974649,0.222523806753209,-0.06545085
83.15,10.0641546114872,-0.51841673797677,0.217286453756149,-0.06313537
83.16,10.0681513383278,-0.51345919919839,0.212159605705194,-0.06078921
83.17,9.9901900794432,-0.502142594977017,0.207141307924141,-0.05841785
83.18,9.92378170816273,-0.484514285901813,0.202229713122005,-0.05602683
83.19,9.92393227761035,-0.474648694582218,0.197423057601801,-0.05362174
83.2,9.89560426989046,-0.457471410813089,0.192719622338761,-0.05120819
83.21,9.8414093073442,-0.452321449770823,0.188117716605419,-0.04879181
83.22,9.79247546684708,-0.445329426743052,0.183615581371835,-0.04637826
83.23,9.71928803917673,-0.428489101789827,0.179211582531978,-0.04397317
83.24,9.65088890319713,-0.418552118642916,0.174904132651739,-0.04158215
83.25,9.63221250206731,-0.411707839331891,0.170691577669599,-0.03921079
83.26,9.6396963476167,-0.400956751894636,0.166572203713275,-0.03686463
83.27,9.60885675494593,-0.400788188074584,0.162544415437798,-0.03454915
