sample_id,time,anomaly,anomaly_type,data_mode,description,volume,flow,paw,source_file,X,Y_flow,Y_paw
Double Trigger,1.5378196666370292,1,Double Trigger,flow,Double Trigger,,-5.605770364257899,59.24646678978872,double_trigger_img2.csv,,,
Double Trigger,1.5577913506193282,1,Double Trigger,flow,Double Trigger,,-5.4121478250618615,59.22734357604096,double_trigger_img2.csv,,,
Double Trigger,1.5777630346016274,1,Double Trigger,flow,Double Trigger,,-5.218525285865821,59.2082203622932,double_trigger_img2.csv,,,
Double Trigger,1.5977347185839263,1,Double Trigger,flow,Double Trigger,,-5.024902746669784,59.18909714854545,double_trigger_img2.csv,,,
Double Trigger,1.617706402566225,1,Double Trigger,flow,Double Trigger,,-4.831280207473746,59.169973934797696,double_trigger_img2.csv,,,
Double Trigger,1.6376780865485243,1,Double Trigger,flow,Double Trigger,,-4.637657668277707,59.150850721049935,double_trigger_img2.csv,,,
Double Trigger,1.6576497705308235,1,Double Trigger,flow,Double Trigger,,-4.444035129081669,59.13172750730218,double_trigger_img2.csv,,,
Double Trigger,1.6776214545131227,1,Double Trigger,flow,Double Trigger,,-4.25041258988563,59.111163503477535,double_trigger_img2.csv,,,
Double Trigger,1.6975931384954217,1,Double Trigger,flow,Double Trigger,,-4.056790050689592,59.08657651437328,double_trigger_img2.csv,,,
Double Trigger,1.717564822477721,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,59.06198952526902,double_trigger_img2.csv,,,
Double Trigger,1.73753650646002,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,59.03740253616476,double_trigger_img2.csv,,,
Double Trigger,1.7575081904423189,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,59.0128155470605,double_trigger_img2.csv,,,
Double Trigger,1.777479874424618,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.98822855795624,double_trigger_img2.csv,,,
Double Trigger,1.797451558406917,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.963641568851976,double_trigger_img2.csv,,,
Double Trigger,1.8174232423892165,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.93905457974772,double_trigger_img2.csv,,,
Double Trigger,1.8373949263715152,1,Double Trigger,flow,Double Trigger,,-3.970588235294088,58.914467590643454,double_trigger_img2.csv,,,
